"平成７年","人口（人）_総数_総数","人口（人）_総数_15歳未満","人口（人）_総数_15～64歳","人口（人）_総数_65歳以上","人口（人）_男_総数","人口（人）_男_15歳未満","人口（人）_男_15～64歳","人口（人）_男_65歳以上","人口（人）_女_総数","人口（人）_女_15歳未満","人口（人）_女_15～64歳","人口（人）_女_65歳以上","割合（％）_総数_15歳未満","割合（％）_総数_15～64歳","割合（％）_総数_65歳以上","割合（％）_男_15歳未満","割合（％）_男_15～64歳","割合（％）_男_65歳以上","割合（％）_女_15歳未満","割合（％）_女_15～64歳","割合（％）_女_65歳以上"
"30363_吉備町","14111.0","2614.0","8882.0","2615.0","6799.0","1377.0","4358.0","1064.0","7312.0","1237.0","4524.0","1551.0","18.524555311459146","62.943802707107935","18.531641981432927","20.25297837917341","64.09766142079718","15.649360200029417","16.917396061269148","61.87089715536105","21.211706783369802"
"30364_金屋町","10081.0","1670.0","5964.0","2447.0","4760.0","842.0","2898.0","1020.0","5321.0","828.0","3066.0","1427.0","16.56581688324571","59.16079753992659","24.273385576827696","17.689075630252102","60.882352941176464","21.428571428571427","15.5609847772975","57.62074797970307","26.81826724299944"
"30365_清水町","5511.0","710.0","2951.0","1850.0","2587.0","363.0","1419.0","805.0","2924.0","347.0","1532.0","1045.0","12.88332426056977","53.54745055343858","33.569225185991655","14.031696946269811","54.85117897178199","31.117124081948198","11.867305061559508","52.39398084815321","35.738714090287274"
"30381_美浜町","8919.0","1486.0","5557.0","1876.0","4117.0","766.0","2629.0","722.0","4802.0","720.0","2928.0","1154.0","16.66106065702433","62.30519116492881","21.033748178046867","18.605780908428468","63.857177556473154","17.53704153509837","14.99375260308205","60.97459391920034","24.03165347771762"
"30382_日高町","6926.0","1138.0","4202.0","1586.0","3296.0","585.0","2019.0","692.0","3630.0","553.0","2183.0","894.0","16.430840311868323","60.66993935893734","22.89922032919434","17.74878640776699","61.25606796116505","20.99514563106796","15.234159779614325","60.13774104683196","24.628099173553718"
"30383_由良町","8056.0","1340.0","5072.0","1644.0","3859.0","696.0","2502.0","661.0","4197.0","644.0","2570.0","983.0","16.63356504468719","62.959285004965245","20.407149950347566","18.0357605597305","64.83544959834154","17.12878984192796","15.34429354300691","61.23421491541578","23.421491541577318"
"30384_川辺町","6790.0","1252.0","4154.0","1384.0","3219.0","618.0","2045.0","556.0","3571.0","634.0","2109.0","828.0","18.438880706921946","61.17820324005891","20.382916053019144","19.19850885368127","63.52904628766698","17.272444858651756","17.754130495659478","59.05908709045086","23.186782413889667"
"30385_中津村","2504.0","423.0","1361.0","720.0","1207.0","220.0","683.0","304.0","1297.0","203.0","678.0","416.0","16.89297124600639","54.353035143769965","28.753993610223645","18.227009113504558","56.58657829328915","25.1864125932063","15.651503469545103","52.27447956823439","32.07401696222051"
"30386_美山村","2262.0","287.0","1190.0","785.0","1074.0","156.0","584.0","334.0","1188.0","131.0","606.0","451.0","12.68788682581786","52.60831122900088","34.703801945181254","14.52513966480447","54.37616387337057","31.098696461824954","11.026936026936026","51.010101010101","37.96296296296296"
"30387_龍神村","4642.0","766.0","2552.0","1324.0","2272.0","393.0","1300.0","579.0","2370.0","373.0","1252.0","745.0","16.501507970702285","54.976303317535546","28.52218871176217","17.297535211267608","57.21830985915493","25.484154929577464","15.738396624472573","52.82700421940928","31.434599156118143"
"30388_南部川村","6663.0","1282.0","3940.0","1441.0","3184.0","649.0","1943.0","592.0","3479.0","633.0","1997.0","849.0","19.24058232027615","59.132522887588166","21.626894792135676","20.383165829145728","61.023869346733676","18.592964824120603","18.19488358723771","57.40155217016384","24.403564242598446"
"30389_南部町","8244.0","1480.0","5123.0","1641.0","3928.0","742.0","2511.0","675.0","4316.0","738.0","2612.0","966.0","17.952450266860748","62.142163998059196","19.90538573508006","18.89002036659878","63.925661914460285","17.184317718940935","17.09916589434662","60.51899907321594","22.38183503243744"
"30390_印南町","10077.0","1735.0","6015.0","2327.0","4844.0","905.0","2967.0","972.0","5233.0","830.0","3048.0","1355.0","17.21742582117694","59.6903840428699","23.09219013595316","18.682906688687034","61.25103220478943","20.066061106523534","15.860882858780814","58.245748136824005","25.893369004395183"
"30401_白浜町","19731.0","3055.0","12732.0","3944.0","9183.0","1552.0","6021.0","1610.0","10548.0","1503.0","6711.0","2334.0","15.483249708580407","64.5279002584765","19.988850032943084","16.900794947185016","65.56680823260372","17.53239682021126","14.249146757679181","63.623435722411834","22.127417519908988"
"30402_中辺路町","3863.0","466.0","2219.0","1178.0","1876.0","244.0","1143.0","489.0","1987.0","222.0","1076.0","689.0","12.063163344550867","57.442402278022264","30.49443437742687","13.00639658848614","60.927505330490405","26.066098081023455","11.17262204328133","54.151987921489685","34.675390035228986"
"30403_大塔村","3285.0","496.0","1876.0","913.0","1590.0","244.0","950.0","396.0","1695.0","252.0","926.0","517.0","15.098934550989346","57.108066971080675","27.792998477929988","15.345911949685535","59.74842767295597","24.90566037735849","14.867256637168142","54.631268436578175","30.501474926253685"
"30404_上富田町","13752.0","2675.0","8922.0","2155.0","6643.0","1368.0","4372.0","903.0","7109.0","1307.0","4550.0","1252.0","19.451716114019778","64.87783595113437","15.670447934845841","20.593105524612373","65.81363841637814","13.593256059009484","18.38514559009706","64.00337600225066","17.611478407652275"
